"F [MHz]","mag(Z(Port1,Port1)) [mOhm]","mag(Z(Port2,Port2)) [mOhm]"
0.00300888310411142,0.785010777160912,0.789104962980279
0.0030319886746683,0.784994207445531,0.7890882617291
0.00305527167564447,0.784977477613057,0.789071395056279
0.00307873346954919,0.784960311032056,0.789054095850272
0.00310237542935457,0.784942970292759,0.789036617339283
0.00312619893857597,0.784925461994179,0.789018965702406
0.00315020539135288,0.784907491020689,0.789000856010303
0.00317439619253061,0.784889343642063,0.788982564318352
0.0031987727577424,0.784871017851844,0.788964088500084
0.00322333651349232,0.784852208144851,0.788945133590255
0.00324808889723873,0.784833216887241,0.788925991162003
0.00327303135747842,0.784814032540699,0.788906649896097
0.00329816535383135,0.784794348455334,0.788886813712758
0.00332349235712605,0.784774474388695,0.788866781293023
0.00334901384948576,0.784754391590139,0.788846534362728
0.00337473132441509,0.784733792812431,0.788825776264331
0.00340064628688746,0.784712995232468,0.788804812818289
0.00342676025343316,0.784691972266291,0.788783618174617
0.00345307475222809,0.78467041666284,0.788761895677381
0.0034795913231832,0.784648653024968,0.788739958303738
0.00350631151803459,0.784626646268315,0.788717771982222
0.00353323690043434,0.784604089795422,0.788695040687569
0.003560369046042,0.784581315634568,0.788672084538912
0.00358770954261678,0.784558279484272,0.788648860576436
0.00361525999011049,0.784534676111334,0.788625074070081
0.00364302200076116,0.784510844944036,0.788601052280413
0.0036709971991874,0.784486731722291,0.788576742614359
0.00369918722248343,0.784462033333945,0.788551852397455
0.00372759372031494,0.784437096596029,0.788526715981386
0.00375621835501558,0.784411856466788,0.788501270380837
0.00378506280168428,0.784386012786419,0.788475225758568
0.00381412874828321,0.784359919717454,0.788448923539007
0.00384341789573666,0.784333500574458,0.788422289482743
0.00387293195803046,0.78430645908423,0.788395037502732
0.0039026726623124,0.784279156647564,0.788367515985376
0.00393264174899318,0.784251504048626,0.788339638596791
0.00396284097184838,0.784223209849165,0.788311123909444
0.003993272098121,0.784194642630711,0.788282327210638
0.0040239369086249,0.784165699664558,0.788253149125249
0.00405483719784904,0.784136095423525,0.78822331392233
0.00408597477406247,0.784106205530603,0.788193183654377
0.00411735145942015,0.78407591272997,0.788162644933606
0.00414896909006959,0.784044938548982,0.788131428815855
0.00418082951625827,0.78401366550213,0.788099903990183
0.00421293460244198,0.783981960742708,0.788067942003244
0.00424528622739386,0.783949554049192,0.788035281883607
0.00427788628431437,0.783916834684691,0.788002298792702
0.00431073668094211,0.783883653045063,0.787968848102144
0.00434383933966539,0.783849748498391,0.787934678087773
0.0043771961976348,0.783815516842436,0.787900170187205
0.00441080920687653,0.78378079050671,0.78786516244164
0.0044446803344066,0.783745319868869,0.787829413719542
0.00447881156234599,0.783709507026022,0.787793311531389
0.00451320488803663,0.783673165165222,0.787756675322794
0.00454786232415826,0.783636057175105,0.787719276045563
0.00458278589884624,0.78359859121325,0.787681506997986
0.00461797765581021,0.783560559852561,0.787643167758171
0.0046534396544537,0.783521740125197,0.787604042904945
0.00468917396999466,0.783482545925047,0.787564531242898
0.00472518269358687,0.783442747811129,0.787524411104543
0.00476146793244232,0.783402138690788,0.787483482359818
0.00479803180995457,0.783361137859398,0.787442148999009
0.00483487646582291,0.783319492331325,0.787400166642582
0.0048720040561777,0.783277012751805,0.787357352260901
0.00490941675370643,0.783234123447333,0.787314114656048
0.00494711674778095,0.783190546304048,0.787270185199449
0.00498510624458552,0.783146111677438,0.787225399866627
0.005023387467246,0.783101248497928,0.78718017185494
0.00506196265595985,0.783055651840892,0.787134206693497
0.00510083406812729,0.783009173893122,0.787087361380831
